SITE_ID,Year,n_30min,n_observed,observed_coverage,n_training_obs,annual_budget_gC_m2_yr,model_only_annual_budget_gC_m2_yr,observed_partial_gC_m2,gapfilled_partial_gC_m2,source_state,log_abs_flux,ERA5_Tair_C_annual,ERA5_Tair_C_sd_annual,ERA5_VSWC_annual,ERA5_VSWC_sd_annual,MAP,MAT,acidity,carbonTot,nitrogenTot,sulfurTot,clayTotal,sandTotal,bulkDensOvenDry,LAI.mean,canopyHeight_m,EcoType,ERA5_Tair_C_annual_site_mean,ERA5_Tair_C_annual_within_site,ERA5_VSWC_annual_site_mean,ERA5_VSWC_annual_within_site
SERC,2021,17520,328,0.0187214611872146,2081,0.138328409390751,0.139241883234204,0.00267058011870077,0.13565782927205,1,-0.8590886137534179,14.911518264840385,9.113222575468894,0.204126198630137,0.030228843461894715,1074.65,13.6,14.2223684210526,0.144565217391304,0.915217391304348,0.144565217391304,25.1717391304348,52.3728260869565,1.56258426966292,2.02464201879214,37.19,Forest,14.812989286638803,0.09852897820158191,0.21257060738157182,-0.008444408751434818
SERC,2022,17520,893,0.0509703196347032,2081,0.131928531778321,0.129964250600879,0.00691971672692767,0.125008815051394,1,-0.8796612674704283,14.21804509132401,9.472846595595607,0.21169238013698627,0.02611960445090063,1074.65,13.6,14.2223684210526,0.144565217391304,0.915217391304348,0.144565217391304,25.1717391304348,52.3728260869565,1.56258426966292,2.02464201879214,37.19,Forest,14.812989286638803,-0.5949441953147936,0.21257060738157182,-8.782272445855555e-4
SERC,2023,17520,704,0.0401826484018265,2081,0.146953421929309,0.151254199843647,-0.00189680636964383,0.148850228298952,1,-0.8328202936199649,15.13050228310498,8.131440650308198,0.24099854452054822,0.08963439296839816,1074.65,13.6,14.2223684210526,0.144565217391304,0.915217391304348,0.144565217391304,25.1717391304348,52.3728260869565,1.56258426966292,2.02464201879214,37.19,Forest,14.812989286638803,0.31751299646617603,0.21257060738157182,0.0284279371389764
SERC,2024,17568,156,0.00887978142076503,2081,0.115663361275882,0.113883224419033,0.00251417873571687,0.113149182540165,1,-0.9368041871263366,14.991891507285835,8.997634482413373,0.19346530623861577,0.0442319393235113,1074.65,13.6,14.2223684210526,0.144565217391304,0.915217391304348,0.144565217391304,25.1717391304348,52.3728260869565,1.56258426966292,2.02464201879214,37.19,Forest,14.812989286638803,0.1789022206470321,0.21257060738157182,-0.019105301142956055
SJER,2021,17520,232,0.0132420091324201,1857,0.511731929387332,0.516735637514723,0.00238409074462926,0.50934783864270206,1,-0.2909574836368708,17.682420091324175,9.615421690586919,0.17740228310502212,0.09200306438852647,539.62,16.4,3.01714285714286,0.00571428571428571,0.685714285714286,0.00571428571428571,7.34285714285714,79.4028571428571,1.68484848484848,0.747962446688153,12,Forest,17.297835771608376,0.384584319715799,0.19683724133776878,-0.019434958232746657
SJER,2022,17520,849,0.048458904109589,1857,0.487485868874017,0.489563757315171,0.0214849637207641,0.466000905153253,1,-0.31203796811863316,17.736275684931417,10.079680375645221,0.15902391552511458,0.09372834970188544,539.62,16.4,3.01714285714286,0.00571428571428571,0.685714285714286,0.00571428571428571,7.34285714285714,79.4028571428571,1.68484848484848,0.747962446688153,12,Forest,17.297835771608376,0.438439913323041,0.19683724133776878,-0.0378133258126542
SJER,2023,17520,550,0.0313926940639269,1857,0.531329359526306,0.522673394565393,0.0249514428435924,0.506377916682713,1,-0.27463618491418623,16.661832191780952,9.04963215096884,0.22181595319634811,0.1082111805047188,539.62,16.4,3.01714285714286,0.00571428571428571,0.685714285714286,0.00571428571428571,7.34285714285714,79.4028571428571,1.68484848484848,0.747962446688153,12,Forest,17.297835771608376,-0.636003579827424,0.19683724133776878,0.024978711858579333
SJER,2024,17568,226,0.0128642987249545,1857,0.56427460018084,0.565102655827788,0.00705679970320207,0.557217800477639,1,-0.24850949751527726,17.110815118396967,9.205555401451305,0.22910681352459028,0.11056581318148526,539.62,16.4,3.01714285714286,0.00571428571428571,0.685714285714286,0.00571428571428571,7.34285714285714,79.4028571428571,1.68484848484848,0.747962446688153,12,Forest,17.297835771608376,-0.18702065321140893,0.19683724133776878,0.0322695721868215
SOAP,2021,17520,313,0.017865296803653,4131,0.362546947475169,0.364664148668682,0.00374713340303964,0.358799814072129,1,-0.44063574593860677,13.897813926940502,9.445190417667362,0.2704459474885847,0.10656211404312095,900.35,13.4,21.5851063829787,0.340425531914894,2.72553191489362,0.340425531914894,13.8682926829268,63.3487804878049,1.36,1.16416068302891,24.4,Forest,13.456047814987345,0.4417661119531573,0.2847921010648251,-0.014346153576240417
SOAP,2022,17520,1806,0.103082191780822,4131,0.368921720500874,0.363413597498484,0.0387965802617172,0.330125140239157,1,-0.4330657734794922,13.675967465753347,9.69499085535684,0.2777426084474886,0.09900095337381636,900.35,13.4,21.5851063829787,0.340425531914894,2.72553191489362,0.340425531914894,13.8682926829268,63.3487804878049,1.36,1.16416068302891,24.4,Forest,13.456047814987345,0.21991965076600195,0.2847921010648251,-0.007049492617336506
